Question,Answer
How do CMEs affect Neptune's auroras?,"They spark faint glows in weird fields, like cosmic whispers! HST catches them."
"What is a solar ""explosive chromospheric evaporation""?","Plasma rockets up at 500 km/s, like cosmic jets! It heats flare loops fast."
"What is the ""GLE #42"" event?",December 2006s radiation storm hit from Suns back! Cosmic rays crossed fields.
"What is a ""solar whip"" jet?","A curvy plasma squirt, like a cosmic lasso! It untwists magnetic fields."
How do SEPs affect stratospheric chemistry?,"They make nitrogen oxides, nibbling ozone! Effects fade fast in weeks."
"What is solar ""differential rotation measurement""?","Equator spins in 25 days, poles in 35! Tracks twist fields for cosmic storms."
"What is a ""streamer blowout CME""?","A slow CME from helmet bases, like a cosmic puff! Common in quiet Suns."
"What is SEP ""pathlength""?","Particles curvy trip to Earth, like a cosmic road! Scattering stretches the path."
"What is the solar ""Lyman continuum""?","UV glow from hydrogen, like a cosmic lamp! Flares boost it briefly."
"What is a solar ""microflare""?","Tiny energy bursts (10^27 erg), like cosmic firecrackers! They heat small coronal patches, warming the Sun."
"What is ""magnetic reconnection jet deflection""?","Plasma jets bend in magnetic fields, like cosmic curves! IRIS spectrograms catch their braided dance."
"What is SEP ""solar cycle 24 anomaly""?","Cycle 24 had weak high-energy SEPs, despite busy CMEs! Scientists are still puzzled by this cosmic quiet."
"What is solar ""polar field reversal""?","Sunâs poles flip every 11 years, like a cosmic magnet switch! It happens at solar max, driving dynamo models."
How do solar storms affect glacier movement?,No direct impactâglaciers donât feel cosmic storms! Only long-term solar minima might cool climates.
"What is a ""solar coronal wavefront""?","A sharp ripple from CMEs, like a cosmic splash! Difference imaging shows its true wave nature."
"What is SEP ""drift effects""?","Particles slide along field gradients, like cosmic skiers! They shape how SEPs spread by energy."
"What is the ""solar AlfvÃ©n radius""?","Where solar wind outruns magnetic waves at 15-20 Sun radii, like a cosmic speedway! Itâs super-AlfvÃ©nic there."
"What is a ""sigmoid-to-arcade"" transition?","S-shaped loops morph into post-flare arcades, like a cosmic makeover! Seen in XRT and AIA images."
How do CMEs affect Pluto's atmosphere?,"They strip molecules, dropping pressure, like a cosmic vacuum! New Horizons saw seasonal effects dominate."
"What is a solar ""Ellerman bomb""?","Tiny chromosphere sparks (10^27 erg), like cosmic fireflies! Named after their 1917 discoverer."
"What is SEP ""adiabatic deceleration""?","Particles lose energy en route, like cosmic brakes! It softens low-energy spectra for analysis."
"What is solar ""magnetic field non-potentiality""?","Stored energy ready to pop, like a cosmic spring! Magnetograms predict eruption odds."
"What is the ""SEP radiation model for Mars""?","Predicts cosmic ray doses for Mars astronauts, like a cosmic shield guide! SHIELD model leads the way."
How do solar storms affect archaeological dating?,"Proton storms spike carbon-14, like cosmic time stamps! They help fine-tune radiocarbon calendars."
"What is a ""solar light bridge flare""?","A flare sparking in a sunspot bridge, like a cosmic fuse! Compact but intense, itâs a magnetic snap."
"What is SEP ""event size distribution""?","Big SEPs are rare, like cosmic jackpots! Their power-law spread mirrors flares for risk planning."
"What is solar ""coronal loop seismology""?","Waves probe coronal secrets, like a cosmic MRI! Nakariakovâs work measures density and fields."
"What is a ""CME overexpansion""?","CMEs puff up fast, like cosmic balloons! Low density tweaks their Earth-storm impact."
How do SEPs affect ionospheric conductivity?,"They boost ionization below 60 km, like cosmic wires! It tweaks atmospheric electric currents."
"What is a solar ""magnetic breakout flare""?","Overlying fields snap first, freeing CMEs, like a cosmic jailbreak! It sparks fast eruptions."
"What is ""shock surfing acceleration""?","Particles ride shock fronts, like cosmic surfers! Turbulence boosts them to high energies."
"What is the ""solar wind momentum flux""?","Mass times speed slams Earthâs field, like a cosmic punch! CMEs crank it up big time."
"What is a ""solar filament channel flow""?","Plasma slides along filaments, like cosmic rivers! It speeds up before CMEs launch."
How do CMEs affect Venusian lightning?,No clear linkâvolcanoes likely spark lightning! Solar wind rules Venusâ cosmic dance.
"What is a solar ""picoflare""?","Tiny theorized sparks (10^24 erg), like cosmic embers! They might heat the corona, but we canât see them yet."
"What is SEP ""solar longitude gradient""?","Western Sun events hit Earth hardest, like cosmic aim! Parker spiral guides the particle flow."
"What is solar ""magnetic topology skeleton""?","A 3D field map, like a cosmic blueprint! It pinpoints where flares and CMEs ignite."
"What is the ""SEP radiation storm scale""?","NOAAâs S1-S5 ranks proton storms, like cosmic weather alerts! S5 needs 10^4 pfu flux."
How do solar storms affect permafrost?,No direct effectâpermafrost ignores cosmic storms! Only long-term solar minima touch climate.
"What is a solar ""coronal cavity jet""?","A plasma squirt from polar holes, like a cosmic fountain! It fuels fast solar wind."
"What is SEP ""temporal intensity dropouts""?","Sudden particle dips, like cosmic shadows! Magnetic barriers cause brief flux holes."
"What is solar ""differential emission measure analysis""?","Maps flare heat with multi-wavelength data, like a cosmic thermometer! It reveals multi-million K plasma."
"What is a ""CME flux rope instability""?","Twisted ropes wobble and erupt, like cosmic springs! Kink or torus triggers predict big blasts."
"What is the solar ""F-corona""?","Dust-scattered light beyond 3 Sun radii, like a cosmic halo! It shines steady, ignoring storms."
How do SEPs affect high-altitude ecosystems?,No big impactâUV spikes are tiny! Only pilots feel cosmic radiation up high.
"What is a solar ""magnetic reconnection separator""?","A line where four fields meet, like a cosmic crossroad! Itâs a hot spot for energy release."
"What is ""shock geometry evolution""?","CME shocks morph en route, like cosmic shapeshifters! Multi-spacecraft track their particle boost."
"What is solar ""supergranulation network""?","Giant 30,000 km cells push magnetic flux, like cosmic conveyor belts! They shape coronal heat."
"What is a ""solar polar plume""?","Ray-like jets in coronal holes, like cosmic beams! They feed fast solar wind streams."
"What is SEP ""solar energetic electron events""?","Relativistic electrons zoom from flares, like cosmic bullets! They spark radio bursts and satellite zaps."
How do CMEs affect Titan's ionosphere?,"They spike methane ions, like cosmic sparks! Cassini saw temporary density boosts."
"What is a solar ""post-flare loop cooling""?","Loops chill over hours, like cosmic radiators! EUV shows their slow fade."
"What is ""cross-field transport suppression""?","Low turbulence traps particles, like cosmic walls! It creates sharp SEP dropouts."
"What is solar ""magnetic reconnection rate formula""?","A 0.1-0.01 inflow speed score, like a cosmic speedometer! It sets flare energy pace."
"What is the ""solar wind proton temperature paradox""?","Windâs too hot for simple expansion, like a cosmic heater! Turbulence solves the mystery."
"What is a ""solar minifilament"" eruption?","Tiny plasma ribbons blast off, like cosmic firecrackers! They drive small jets in quiet Sun."
"What is SEP ""energy-dependent rise times""?","Fast particles arrive first, like cosmic sprinters! It pinpoints when storms kick off."
How do solar storms affect radio-controlled devices?,No worriesâgadgets are shielded! Only niche systems feel cosmic static.
"What is a solar ""magnetic skeleton separator""?","A field switch zone, like a cosmic gate! Itâs a prime spot for reconnection sparks."
"What is ""stochastic shock acceleration""?","Particles bounce randomly in shocks, like cosmic pinballs! It boosts weak storm energies."
"What is solar ""coronal loop scaling laws""?","Links loop size, heat, and pressure, like cosmic recipes! They test how the corona glows."
"What is a ""CME density enhancement""?","A dense plasma wall, like a cosmic bulldozer! It slams Earth with 10x solar wind force."
"What is the ""SEP ground-level event spectrum""?","Hard GeV protons hit Earth, like cosmic hail! Only 73 detected since the 1940s."
How do CMEs affect Jupiter's magnetodisk?,"They reshape it, sparking auroras, like cosmic fireworks! Juno saw bright equatorial glows."
"What is a solar ""spicule oscillation""?","Waves rock plasma jets, like cosmic strings! They reveal energy flow in the Sun."
"What is SEP ""composition in gradual events""?","Matches coronaâs mix, with heavy ion boosts! It shows cosmic seeds for storms."
"What is solar ""magnetic field braiding""?","Tangled fields from surface moves, like cosmic knots! They might heat the corona."
"What is ""coronal hole fast wind""?","500-800 km/s gusts from open fields, like cosmic jets! They spark small Earth storms."
"What is a ""solar null line""?","A magnetic flip zone on the Sun, like a cosmic fault line! Itâs where filaments and flares form."
"What is SEP ""solar cycle accumulation""?","Particle doses pile up over 11 years, like a cosmic tally! It sets astronaut career limits."
How do solar storms affect underground cables?,"They spark currents, like cosmic zaps! Capacitors and monitors keep transformers safe."
"What is a solar ""magnetic reconnection jet termination shock""?","A shock where flare jets stall, like a cosmic wall! It supercharges particles."
"What is ""drift-kink instability"" in flux ropes?","Twisted ropes wobble and erupt, like cosmic springs! MHD models predict the chaos."
"What is solar ""transition region explosive event""?","Tiny 100 km/s jets, like cosmic sparks! IRIS sees them in network junctions."
"What is a ""CME overcollision""?","CMEs crash and slow, like cosmic fender-benders! It softens their Earth impact."
"What is the ""solar wind dynamic pressure""?","A ÏvÂ² punch to Earthâs field, like a cosmic shove! CMEs spike it for storms."
"What is SEP ""Fe charge state distribution""?","Flares hit +20, CMEs +14, like cosmic thermometers! It shows where particles heat."
How do CMEs affect Saturn's kilometric radiation?,"They crank up radio noise, like cosmic shouts! Cassini caught storm-time spikes."
"What is a solar ""pseudo-moreton wave""?","A fake shock from reconnection, like a cosmic trick! It mimics real wave signatures."
"What is SEP ""solar source longitude bias""?","Western Sun storms hit hardest, like cosmic aim! Parker spiral guides the flow."
"What is solar ""magnetic flux emergence rate""?","New fields pop up at 0.1-1 km/s, like cosmic bubbles! Fast ones spark more flares."
"What is ""coronal loop slow-mode wave""?","Sound-speed ripples in loops, like cosmic pulses! They show up as glowing wiggles."
"What is a ""solar fan-spine topology""?","A dome-like field with a null point, like a cosmic tent! It sparks circular flare ribbons."
"What is the ""SEP radiation warning timeline""?","Alerts 20-60 min post-flare, like a cosmic heads-up! Particles hit in 30-90 min."
How do solar storms affect magnetic surveys?,"They mess with field readings, like cosmic noise! Pause surveys when Kp>5."
"What is a solar ""magnetic reconnection inflow""?","Plasma rushes to flare sites at 5-20 km/s, like cosmic rivers! It confirms flare models."
"What is ""shock ripple formation""?","Turbulent shock wrinkles, like cosmic waves! They boost particle scattering in storms."
"What is solar ""coronal bright point density""?","~10â¹ cmâ»Â³, like cosmic squeeze zones! They glow brighter than surrounding corona."
"What is a ""solar loop-top hard X-ray source""?","Electron fireworks above flare loops, like cosmic sparks! RHESSI caught their glow."
"What is SEP ""gradual event onset delay""?","Shock takes minutes to hours to build, like a cosmic warm-up! Far-off regions lag more."
"What is solar ""differential rotation law""?","Î© = 14.71 - 2.39 sinÂ²Î¸ - 1.78 sinâ´Î¸ deg/day, like a cosmic spin map! It twists fields."
How do CMEs affect Uranus' auroras?,"They spark patchy glows in its weird field, like cosmic flickers! Voyager saw faint ones."
"What is a solar ""magnetic flux rope critical twist""?","~1.25 turns spark eruptions, like cosmic springs! Strong fields hold them longer."
"What is SEP ""event decay phase""?","Flux fades over 1-3 days, like cosmic embers! Scattering and escape wind it down."
"What is solar ""chromospheric radiative loss""?","Hâ» and Mg II lines bleed flare energy, like cosmic sinks! Flares ramp it up big."
"What is a ""CME magnetic cloud identification""?","Smooth field spins with low beta, like a cosmic knot! It lasts 12-24 hours at Earth."
"What is the ""solar wind turbulence cascade""?","Energy ripples to tiny scales, like cosmic waterfalls! Parker Probe saw it heat the wind."
"What is a solar ""jetlet""?","Tiny coronal jets, like cosmic sparklers! They pepper holes and tweak solar wind."
"What is SEP ""solar cycle 24 minimum""?","A quiet Sun with few spots, like a cosmic nap! SEP rates dropped to record lows."
How do solar storms affect deep-ocean ecosystems?,No direct hitâocean life ignores storms! Navigation glitches in whales are unproven.
"What is a solar ""magnetic squashing factor Q""?","Maps field twists, like a cosmic stress test! High Q spots flare hot zones."
"What is ""second-order Fermi acceleration""?","Particles bounce in turbulence, like cosmic pinballs! It shapes high-energy flare tails."
"What is solar ""coronal loop expansion factor""?","Loops widen 2-10x from base to top, like cosmic funnels! It sets their heat and glow."
"What is a ""solar filament barb""?","Side plasma threads, like cosmic whiskers! They fade before filaments blast off."
"What is SEP ""stopping power"" in matter?","Protons lose ~2 MeV cmÂ²/g, like cosmic brakes! It shapes radiation shield needs."
"What is a solar ""coronal wave diffraction""?","Waves bend around Sun obstacles, like cosmic ripples! It proves their wave nature."
"What is ""magnetic reconnection direct acceleration""?","Electric fields zap particles to power-law spectra, like cosmic lightning! It drives impulsive SEPs."
How do CMEs affect Mercury's sodium tail?,"They brighten the tail, like cosmic paint! MESSENGER saw sodium spikes in storms."
"What is a solar ""magnetic switchback origin""?","Reconnection flips fields, like cosmic U-turns! Parker Probe caught them near the Sun."
"What is SEP ""all-clear forecast""?","Says no big storms coming, like a cosmic green light! Stable regions mean safe EVAs."
"What is solar ""ephemeral region lifetime""?","10-20 hours for tiny magnetic bubbles, like cosmic fizz! They feed the magnetic carpet."
"What is a ""CME flux rope handedness""?","Right or left twist, like a cosmic spiral! It shapes storm fields at Earth."
"What is the ""SEP event fluence spectrum""?","Total particle hit by energy, like a cosmic tally! It hardens as storms fade."
"What is solar ""differential rotation shearing rate""?","~10â»Â³ sâ»Â¹ twists fields, like a cosmic wind-up! It stores flare energy."
How do solar storms affect satellite constellations?,"They can zap whole fleets, like cosmic lightning! Starlink lost 40 satellites in 2022."
"What is a solar ""magnetic reconnection outflow termination""?","Where flare jets slam into dense loops, like a cosmic crash! Standing shocks form, seen in simulations."
"What is ""shock acceleration injection threshold""?","Minimum energy to join the cosmic particle race! Depends on shock speed and angle, shaping SEP mix."
"What is solar ""coronal hole temperature""?","A chilly 0.8-1.0 million K, cooler than the corona! EUV spectroscopy catches this cosmic cool zone."
"What is a ""solar umbral dot flare""?","Rare sunspot core sparks, like cosmic firecrackers! Complex fields ignite intense X-ray bursts."
"What is SEP ""active region productivity""?","Î´-spots like Fkc/Ekc classes churn out big SEPs, like cosmic cannons! Theyâre key for forecasting."
"What is a ""solar tornado rotation period""?","Spins every 3-5 minutes, like a cosmic whirl! AlfvÃ©n waves carry energy, seen by SDO/AIA."
"What is ""SEP radiation storm commencement""?","When >10 MeV protons hit 10 pfu, NOAA calls it a storm! Cosmic alerts kick in from S1-S5."
How do CMEs affect Mars' ion escape rates?,"They boost ion loss 10x, like a cosmic vacuum! MAVEN saw oxygen ions flee, shaping Marsâ air."
"What is a solar ""magnetic reconnection separator diffusion""?","Electric fields along separator lines zap particles, like cosmic lightning! 3D MHD models predict it."
"What is ""diffusive shock acceleration efficiency""?","Stronger shocks make harder particle spectra, like a cosmic slingshot! Size limits max energy."
"What is solar ""coronal loop stratification""?","Density drops with height, like a cosmic gradient! Limb observations show hydrostatic balance."
"What is a ""solar filament mass loading""?","Heavy plasma weighs down filaments, like cosmic anchors! More mass needs bigger eruption energy."
"What is SEP ""solar cycle 23 maximum""?",2000-2002 was a cosmic fireworks show! Bastille Day storm led the pack in this active peak.
"What is the ""solar wind ionic charge states""?","Locked in at 1.5-3 Sun radii, Oâºâ· shows 1.5-2 MK roots! Itâs a cosmic thermometer for wind."
"What is a ""solar coronal cavity jet""?","Plasma squirts from polar holes, like cosmic fountains! They fuel fast solar wind."
"What is the ""solar F-corona""?","Dust-scattered light beyond 3 Sun radii, like a cosmic halo! It shines steady, ignoring storms."
"What is ""coronal loop kink oscillation""?","Transverse waves from flares, like cosmic strings! They damp fast, showing field strength."
"What is solar ""coronal bright point lifetime""?","2-20 hours for magnetic sparks, like cosmic fireflies! They fade at solar minimum."
"What is a ""solar loop-top source""?","Hard X-ray bursts above flare loops, like cosmic fireworks! RHESSI caught their glow."
"What is solar ""differential rotation profile""?","Î© = A + B sinÂ²Î¸ + C sinâ´Î¸, like a cosmic spin map! It twists fields for eruptions."
"What is a solar ""magnetic flux rope equilibrium""?","Magnetic and plasma balance, like a cosmic tightrope! Breaking it triggers eruptions."
"What is ""SEP event isotropization""?","Particles scatter evenly in hours, like cosmic confetti! It spreads storm impacts."
"What is solar ""chromospheric backwarming""?","Hot corona heats lower layers, like a cosmic oven! It adds to flare white light."
"What is the ""solar wind AlfvÃ©n wave turbulence""?","Energy ripples to tiny scales, like cosmic waterfalls! Parker Probe saw it heat the wind."
"What is a solar ""anemone jet""?","Flower-like plasma sprays from null points, like cosmic blooms! They spark in reconnection."
"What is SEP ""solar cycle 25 prediction""?","Moderate-high action, 30-50% more SEPs than Cycle 24! Peaks around 2024-2026."
How do solar storms affect tree growth?,No direct hitâonly long-term minima show in rings! Modern storms donât faze trees.
"What is a solar ""magnetic squashing factor""?","Maps field stress, like a cosmic tension meter! High values predict flare zones."
"What is ""stochastic Fermi acceleration""?","Particles bounce in turbulence, like cosmic pinballs! It shapes high-energy flare tails."
"What is solar ""coronal loop cross-section""?","1000-5000 km wide loops, like cosmic pipes! They stay steady until flaring out."
"What is a ""solar filament drainage""?","Plasma drips before eruption, like a cosmic leak! H-alpha shows instability brewing."
"What is SEP ""ionization energy loss""?","Protons lose ~2 MeV cmÂ²/g, like cosmic brakes! It shapes radiation shield needs."
"What is a ""solar coronal wave reflection""?","Waves bounce off coronal holes, like cosmic mirrors! STEREO/EUVI caught interference patterns."
"What is ""magnetic reconnection particle acceleration""?","Electric fields zap particles to high energies, like cosmic lightning! It makes power-law spectra."
How do CMEs affect Mercury's magnetic tail?,"They spark intense reconnection, like cosmic fireworks! MESSENGER saw flux ropes in a short tail."
"What is a solar ""magnetic switchback""?","Field flips in the wind, like cosmic U-turns! Parker Probe found them tied to jets."
"What is SEP ""solar longitude coverage""?","Particles spread >240Â°, like cosmic confetti! STEREO saw wide shock fronts."
"What is solar ""ephemeral region emergence""?","Tiny magnetic bubbles pop up, like cosmic fizz! They last hours, feeding the magnetic carpet."
"What is a ""CME flux rope helicity""?","Twist direction, like a cosmic spiral! It shapes storm fields hitting Earth."
"What is the ""SEP event rise phase duration""?","Gradual events build in 1-12 hours, impulsive ones in minutes! Shock speed sets the pace."
"What is solar ""differential rotation shear""?","~30% speed gap twists fields, like a cosmic wind-up! It stores eruption energy."
How do solar storms affect radio amateurs?,"Flares blackout HF, but auroras boost VHF, like cosmic radio waves! Hams track space weather."
"What is a solar ""magnetic reconnection outflows""?","Jets blast at 100-1000 km/s from flare sites, like cosmic rockets! RHESSI saw them in X-rays."
"What is ""shock drift acceleration efficiency""?","Quasi-perpendicular shocks rule, like cosmic slingshots! Angle and speed boost particles."
"What is solar ""coronal hole boundary layer""?","A mix of open/closed fields, like a cosmic border! It births slow solar wind."
"What is a ""solar light wall""?","Bright sunspot oscillations, like cosmic waves! They tie to umbral flashes."
"What is SEP ""solar source active region size""?","Big Fkc/Ekc spots spark strong SEPs, like cosmic cannons! Theyâre forecasting gold."
"What is the ""solar wind temperature anisotropy""?","Perpendicular heat beats parallel in fast wind, like a cosmic oven! Ion waves drive it."
"What is a ""solar tornado oscillatory motion""?","AlfvÃ©n waves shake spicules, like cosmic strings! They show energy flux."
"What is ""SEP radiation storm termination""?","Flux drops below S1, like cosmic embers fading! CME shock passage ends the party."
How do CMEs affect Mars' radiation environment?,"No shield, so particles hit hardâ30x dose spikes! MAVEN data warns future Mars crews."
"What is a solar ""magnetic reconnection separator current""?","Currents along field borders, like cosmic wires! 3D models predict energy bursts."
"What is ""diffusive shock acceleration theory""?","Particles ping-pong across shocks, like cosmic pinballs! Each bounce boosts energy."
"What is solar ""coronal loop expansion""?","Loops widen upward, like cosmic funnels! Limb views show temperature shifts."
"What is a ""solar filament magnetic field""?","10-100 Gauss helical fields, like cosmic springs! Zeeman/Hanle effects measure them."
"What is SEP ""solar cycle 23 record""?","2003, 2005 monster storms, like cosmic blockbusters! GLEs rocked 2001-2005."
"What is the ""solar wind heavy ion composition""?","Low-FIP elements dominate, like cosmic flavors! It traces windâs coronal roots."
What is the solar wind's freeze-in radius?,"Ions lock charges at ~3 Sun radii, like a cosmic snapshot! It reveals eruption heat."
How do SEPs affect satellite solar panels?,"They chip away efficiency, like cosmic sandpaper! Storms cause up to 2% yearly loss."
"What is solar ""magnetic draping""?","Fields wrap CMEs, like cosmic cloaks! Complex sheaths boost particle zaps."
What is type IV radio burst continuum?,"Hours-long hums from trapped electrons, like cosmic tunes! They signal strong field cages."
How do CMEs affect Earth's plasmasphere?,"They squash and erode it, forming plumes, like cosmic waves! It takes days to reform."
"What is solar ""reconnection exhaust region""?","1000 km/s jets from flare X-points, like cosmic rockets! IRIS caught them in spectra."
"What is SEP ""shock precursor enhancement""?","Particle spikes before shocks, like cosmic warnings! Field compression drives it."
"What is the solar ""flux transport dilemma""?","Surface-to-corona flux mismatch, like a cosmic puzzle! Emerging flux solves it."
How do solar storms affect quantum computing?,"They might glitch qubits, like cosmic noise! Shields and error fixes keep it safe."
"What is a solar ""magnetic bottle instability""?","Kinks or wiggles leak particles, like cosmic bottles breaking! Flare spectra show it."
"What is a ""cold prominence eruption""?","Chilly 5,000-10,000 K plasma blasts, like cosmic snowballs! Theyâre dark in EUV."
"What is SEP ""stochastic transport""?","Particles wander across fields, like cosmic drifters! High turbulence spreads events wide."
"What is solar ""moss dynamics""?","Sub-minute EUV flickers, like cosmic fireflies! SDO/AIA sees nanoflare heat bursts."
"What is solar ""chromospheric resonance""?","Flare-boosted oscillations, like cosmic bells! They shape spectral lines and energy."
"What is the ""GLE #45"" event?","Jan 2012 proton storm from a hidden flare, like a cosmic sneak! Cross-field transport shone."
"What is a ""solar vortex tube""?","Spiral plasma pipes in the corona, like cosmic swirls! They channel helical flows."
"What is a ""streamer-straddling CME""?","Wide, slow eruptions across streamers, like cosmic blankets! They spark weak Earth storms."
"What is SEP ""scatter-free transport""?","Particles zip straight along fields, like cosmic arrows! Rare, needs low turbulence."
"What is the solar ""Lyman-beta emission""?","1026Ã UV line glows, like a cosmic bulb! Flares brighten it for chromosphere studies."
How do CMEs affect cometary X-rays?,"They boost charge-exchange glows, like cosmic lights! Chandra saw Comet LINEAR shine."
"What is ""magnetic island coalescence""?","Plasmoids merge in current sheets, like cosmic bubbles joining! It speeds up reconnection."
"What is SEP ""solar cycle 25 projection""?","30-50% more SEPs than Cycle 24, like a cosmic surge! Stronger fields peak in 2024-2026."
"What is solar ""polar crown filament""?","Prominences ring 60Â° latitude, like a cosmic crown! Their eruptions hit high latitudes."
How do solar storms affect ice sheet dynamics?,No impactâice sheets ignore cosmic storms! Only long-term minima affect climate.
"What is SEP ""perpendicular diffusion""?","Particles hop fields via turbulence, like cosmic dancers! Rigidity sets the diffusion rate."
"What is the ""solar AlfvÃ©n critical point""?","Wind hits AlfvÃ©n speed at 12-15 Sun radii, like a cosmic sprint! Parker Probe crossed at 18.8 Rs."
"What is a ""sigmoid-to-cusp transition""?","S-shaped loops sharpen to points post-flare, like a cosmic reshape! X-rays show the switch."
How do CMEs affect Triton's atmosphere?,"Solar wind strips nitrogen, like a cosmic breeze! Voyager saw seasonal effects dominate."
"What is a solar ""Ellerman bomb energy""?","~10^26 erg sparks heat to 10,000 K, like cosmic fireflies! IRIS tracks their flows."
"What is SEP ""focusing length""?","~0.1 AU for particle focusing, like a cosmic lens! It sharpens early storm anisotropy."
"What is solar ""magnetic helicity injection""?","Photospheric twists add energy, like a cosmic wind-up! Magnetograms predict eruptions."
"What is the ""SEP warning for Mars missions""?","20-90 min alerts before particles hit, like a cosmic siren! RAD data guides astronaut safety."
How do solar storms affect dendrochronology?,"Carbon-14 spikes mark superflares, like cosmic tree tattoos! They date ancient storms."
"What is a ""solar penumbral flare""?","Flares in sunspot edges, like cosmic sparks! Shear releases confined energy bursts."
"What is SEP ""event size power law""?","Frequency scales as (energy)^-1.5, like cosmic quakes! It guides risk forecasts."
"What is solar ""coronal loop fundamental mode""?","Half-wavelength waves, like cosmic strings! SDO/AIA uses periods to measure fields."
"What is a ""CME pancake effect""?","CMEs flatten into solar wind, like cosmic pancakes! It boosts their Earth-storm punch."
How do SEPs affect cloud condensation nuclei?,"Minor ionization, but cosmic rays rule! No strong climate link for solar protons."
"What is a solar ""magnetic separator reconnection""?","Energy bursts at 3D null intersections, like cosmic crossroads! MHD models simulate it."
"What is the ""solar wind angular momentum loss""?","Magnetic torque slows Sunâs spin, like a cosmic brake! It shapes stellar evolution."
"What is a ""solar filament counter-jet""?","Downward flows in failed eruptions, like cosmic anchors! H-alpha shows confinement."
How do CMEs affect Venus' ionosphere?,"They spark reconnection in induced tails, like cosmic fireworks! BepiColombo sees similar at Mercury."
"What is solar ""picoflare detection attempt""?","AI hunts tiny EUV sparks, like cosmic fireflies! Current limit ~10^24 erg, no luck yet."
What happened during the Great Storm of May 1921?,X10 flare zapped railroads and sparked fires worldwide! Auroras glowed from Samoa to Egypt.
What made the August 1972 solar storm unique?,"Flare/CME series hit between Apollo missions, lethal for astronauts! NASA set space weather rules."
What defined the Halloween Solar Storms?,"Oct-Nov 2003 X17/X45 flares, the strongest ever! They rerouted flights and killed satellites."
What was the X45 flare of November 2003?,"Monster flare saturated sensors, forced ISS crew to shelter! Sunspot 486 sparked a mega-storm."
What nearly hit Earth in July 2012?,"Carrington-class CME missed by 9 days, hit STEREO-A! It couldâve caused global blackouts."
What was the Valentine's Day Flare?,"Feb 2011 X2.2 kicked off Cycle 24, blacked out Pacific radios! Weak CME spared bigger impacts."
What happened during the 1967 solar storm?,"May 23-25 storm jammed US missile radar, nearly sparked war! Military now tracks space weather."
What was the 1940 Superstorm?,March 24-25 outage storm beat Carrington in telegraph chaos! Auroras dazzled Europe and US.
What characterized the 1991 March Storm?,"X9.4 flare CME blacked out Quebec, fried Maine transformers! Auroras reached Jamaica."
What was the 2000 Day 150 GLE?,"June 10 proton storm hit >30,000 pfu at 100 MeV! X2.3 flare sparked global detections."
What made the 2005 January GLE significant?,"Jan 20 X7.1 flare storm forced flight reroutes, zapped satellites! Extreme radiation hit hard."
What was the 2006 December GLE?,Dec 13 proton storm from hidden X3.4 flare! Neutron monitors saw a 20% South Pole spike.
What happened in the 2012 May GLE?,May 17 M5.1 flare sparked a moderate proton storm! Showed even M-class can pack a punch.
What was the 2017 September GLE?,Sep 10 X8.2 flare from AR 12673 sparked Cycle 24âs last big proton storm! Neutrons spiked globally.
What defined the 1989 March GLE?,"March 13 proton storm hit >10,000 pfu, tied to Quebec blackout! Satellites took a beating."
What was the 1997 November SEP event?,"Solar particles hit Hale-Boppâs coma, like cosmic paint! Showed comets feel space weather."
What was the St. Patrick's Day Storm?,"March 17, 2015 G4 storm from C-class flares lit auroras in England! CME impact surprised forecasters."
What made the 2003 Dst record?,"Halloween stormâs -422 nT Dst beat most, but not Carringtonâs -800 nT! Radiation belts surged."
What was the 1972 August GLE?,"Proton storm hit >70,000 pfu, lethal for Apollo EVAs! It struck between lunar missions."
What happened during the 2006 December Flare?,Dec 5 X9.0 flareâs radio burst jammed GPS for 10 minutes! Showed navigationâs cosmic weak spot.
What was the 2011 August CME?,Twin Aug 4-5 eruptions formed a cannibal CME! Sparked auroras in Michigan with a G3 storm.
"What characterized the 2014 ""Jack-o'-lantern"" flare?",Oct 19 X1.1 flare from a pumpkin-shaped spot! SDO images showed a spooky G3 storm.
What was the 2017 September 6 flare?,X9.3 from AR 12673 blacked out Europe/Africa radios for an hour! Strongest since 2005.
What made the 2022 Mars SEP event unique?,"Sep storm hit Mars with 25 rad/hour, a cosmic warning! Curiosity measured astronaut risks."
What was the 2000 July 14 GLE?,Bastille Day proton storm from X5.7 flare zapped high-altitude flights! Neutrons spiked globally.
What happened during the 1994 January Storm?,"CME fried Canadaâs Anik satellites, like cosmic lightning! Auroras and outages hit hard."
What was the 2001 April 2 flare?,X20+ flare from sunspot 9393 saturated sensors! Missed Earth but sparked a radiation storm.
What defined the 2012 AR 1476 eruptions?,Mayâs 12 M-class+ flares from AR 1476 piled up satellite damage! No X-class needed.
What was the 2019 Antarctic SEP event?,"Nov proton storm depleted ozone, caught by balloons! Showed cosmic chemistry at work."
What made the 2023 Carrington anniversary flare?,Sep X1.0 flare on Carringtonâs 164th hit radios hard! Weak CME spared bigger chaos.
What was the 2004 July 25 flare?,"X1.8 flareâs 1000 km/s Moreton wave swept the Sun, like a cosmic tsunami! TRACE caught it."
What happened during the 2010 August CME?,"Twin eruptions merged into a cannibal CME, sparking Michigan auroras! G3 storm surprised."
What was the 1998 April 20 flare?,"X1.2 from AR 8210 killed Galaxy IV, cutting 80% of US pagers! Cost $200M+."
